,viaje_id,persona_id,num_viaje,delegacion_origen,hora_inicio,minuto_inicio,hora_termino,minuto_termino,delegacion_destino,automovil_num_veces,colectivo_micro_num_veces,taxi_app_num_veces,taxi_num_veces,metro_num_veces,autobus_rtp_num_veces,bicicleta_num_veces,autobus_num_veces,moto_num_veces,trolebus_num_veces,metrobus_mexibus_num_veces,tren_ligero_num_veces,tren_suburbano_num_veces,camino_num_veces,mexicable_num_veces,bicitaxi_num_veces,mototaxi_num_veces,transporte_escolar_num_veces,transporte_personal_num_veces,otro_num_veces,personas_inicio_viaje,horas_estacionamiento,minutos_estacionamiento,pago_estacionamiento_cantidad,num_paradas_10_min,factor,unidad_primaria_muestreo,estrato_diseno_muestral,edad,dia_viaje descrip,tipo_lugar_origen descrip,entidad_origen descrip,distrito_origen descrip,tipo_lugar_destino descrip,entidad_destino descrip,distrito_destino descrip,proposito descrip,automovil descrip,colectivo_micro descrip,taxi_app descrip,taxi descrip,metro descrip,autobus_rtp descrip,bicicleta descrip,autobus descrip,moto descrip,trolebus descrip,metrobus_mexibus descrip,tren_ligero descrip,tren_suburbano descrip,camino descrip,mexicable descrip,bicitaxi descrip,mototaxi descrip,transporte_escolar descrip,transporte_personal descrip,otro descrip,condujo descrip,lugar_estacionamiento descrip,pago_estacionamiento descrip,pago_usted descrip,holograma_automovil descrip,paradas_recoger_alguien descrip,paradas_gasolinera descrip,paradas_cajero descrip,paradas_compra_rapida descrip,paradas_convivencia_breve descrip,paradas_descanso descrip,paradas_tramite_rapido descrip,paradas_otro_motivo descrip,estrato_sociodemografico descrip,tamano_localidad descrip,sexo descrip
10,2947,1270,4,5,10,0,10,30,15,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0,236,88,40,64,Viaje realizado entre semana (Sección V),Centro cultural o área recreativa,Ciudad de México,Nueva Industrial Vallejo,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Sí,Cochera propia,,,Holograma 0,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
11,2948,1270,1,15,10,0,10,45,57,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,0,236,88,40,64,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",México,Fracc Industrial Naucalpan Poniente,Ir de compras (bienes y servicios),Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Sí,Vía pública,No,,Holograma 1,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
12,2949,1270,2,57,12,0,13,0,15,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,0,236,88,40,64,Viaje realizado en sábado (Sección VI),"Comercio, mercado, tienda o centro comercial",México,Fracc Industrial Naucalpan Poniente,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Sí,Cochera propia,,,Holograma 1,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
13,2950,1271,1,15,11,0,11,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,41,Viaje realizado entre semana (Sección V),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",Ciudad de México,Buenavista-Reforma,Ir de compras (bienes y servicios),No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
14,2951,1271,2,15,12,0,12,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,41,Viaje realizado entre semana (Sección V),"Comercio, mercado, tienda o centro comercial",Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
15,2952,1271,3,15,14,0,14,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,41,Viaje realizado entre semana (Sección V),Su hogar,Ciudad de México,Buenavista-Reforma,Escuela,Ciudad de México,Buenavista-Reforma,Llevar o recoger a alguien,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
16,2953,1271,4,15,14,20,14,30,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,41,Viaje realizado entre semana (Sección V),Escuela,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
17,2954,1272,1,15,6,45,6,55,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,13,Viaje realizado entre semana (Sección V),Su hogar,Ciudad de México,Buenavista-Reforma,Escuela,Ciudad de México,Buenavista-Reforma,Ir a estudiar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
18,2955,1272,2,15,14,20,14,30,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,13,Viaje realizado entre semana (Sección V),Escuela,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
19,2956,1272,1,15,10,0,10,45,57,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,236,88,40,13,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",México,Fracc Industrial Naucalpan Poniente,Ir de compras (bienes y servicios),Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
20,2957,1272,2,57,12,0,13,0,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,236,88,40,13,Viaje realizado en sábado (Sección VI),"Comercio, mercado, tienda o centro comercial",México,Fracc Industrial Naucalpan Poniente,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
21,2958,1273,1,15,7,30,7,35,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado entre semana (Sección V),Su hogar,Ciudad de México,Buenavista-Reforma,Otra vivienda,Ciudad de México,Buenavista-Reforma,Ir al trabajo,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
22,2959,1273,2,15,11,0,11,5,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado entre semana (Sección V),Otra vivienda,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
23,2960,1273,1,15,7,30,7,35,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,Otra vivienda,Ciudad de México,Buenavista-Reforma,Ir al trabajo,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
24,2961,1273,2,15,10,0,10,5,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado en sábado (Sección VI),Otra vivienda,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
25,2962,1273,3,15,11,0,11,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",Ciudad de México,Buenavista-Reforma,Ir de compras (bienes y servicios),No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
26,2963,1273,4,15,11,50,12,0,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado en sábado (Sección VI),"Comercio, mercado, tienda o centro comercial",Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
27,2964,1273,5,15,19,0,19,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,Recinto religioso,Ciudad de México,Buenavista-Reforma,Ir a acto religioso,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
28,2965,1273,6,15,20,15,20,30,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,56,Viaje realizado en sábado (Sección VI),Recinto religioso,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
29,2966,1274,1,15,6,0,7,15,15,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,33,Viaje realizado entre semana (Sección V),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",Ciudad de México,Centro Histórico,Ir al trabajo,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
30,2967,1274,2,15,16,0,17,30,15,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,33,Viaje realizado entre semana (Sección V),"Comercio, mercado, tienda o centro comercial",Ciudad de México,Centro Histórico,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
31,2968,1274,1,15,6,0,7,15,15,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,33,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",Ciudad de México,Centro Histórico,Ir al trabajo,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
32,2969,1274,2,15,16,0,17,30,15,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,33,Viaje realizado en sábado (Sección VI),"Comercio, mercado, tienda o centro comercial",Ciudad de México,Centro Histórico,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
33,2970,1274,3,15,19,0,19,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,33,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,Recinto religioso,Ciudad de México,Buenavista-Reforma,Ir a acto religioso,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
34,2971,1274,4,15,20,15,20,30,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,33,Viaje realizado en sábado (Sección VI),Recinto religioso,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
35,2972,1275,1,15,7,10,7,25,15,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,236,88,40,14,Viaje realizado entre semana (Sección V),Su hogar,Ciudad de México,Buenavista-Reforma,Escuela,Ciudad de México,Buenavista-Reforma,Ir a estudiar,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
36,2973,1275,2,15,20,0,20,30,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,14,Viaje realizado entre semana (Sección V),Escuela,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
37,2974,1275,1,15,19,0,19,10,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,14,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,Recinto religioso,Ciudad de México,Buenavista-Reforma,Ir a acto religioso,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
38,2975,1275,2,15,20,15,20,30,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,14,Viaje realizado en sábado (Sección VI),Recinto religioso,Ciudad de México,Buenavista-Reforma,Su hogar,Ciudad de México,Buenavista-Reforma,Ir al hogar,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Hombre
39,2976,1276,1,15,11,0,11,15,15,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,236,88,40,65,Viaje realizado en sábado (Sección VI),Su hogar,Ciudad de México,Buenavista-Reforma,"Comercio, mercado, tienda o centro comercial",Ciudad de México,Buenavista-Reforma,Ir de compras (bienes y servicios),No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,Utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,No utilizó,,,,,,,,,,,,,,Medio alto,"Localidades mayores de 100,000 habitantes",Mujer
